"NawabSiddiqueAliKhanFlyover - - FiveStarChowrangi = 5"
"NazimabadEidGahGround - - Liaqtabad10Number = 2"
"Nipa - -  JoharMorr = 2"
"NipaChowrangi - - JoharMorr = 2"
"NipaChowrangi - - Karsaz = 10"
"NipaChowrangi - - SharahEFaisalRoad = 2"
"Numaish - - TajComplex = 1"
"Nursery - - FTC = 2"
"Nursery - - Karsaz = 11"
"Nursery - - LaalKothi = 2"
"Nursery - - RegentPlaza = 2"
"PafBaseFaisal - -  LaalKothi = 5"
"PafBaseFaisal - - Karsaz = 3"
"PafBaseFaisal - - LaalKothi = 5"
"PafBaseFaisal - - Nursery = 8"
"PrinceAlyBoysSchools - - MalirSessionCourt = 1"
"Quaidabad - - GulshanChowrangi = 17"
"Quaidabad - - JoharMorr = 14"
"Quaidabad - - MurghiKhana = 2"
"Quaidabad - - NipaChowrangi = 16"
"RashidMinhasRoad - - NationalHighway5 = 2"
"RegalChowk - - IIChundrigar = 3"
"RegalChowk - - IIChundrigar = 5"
"RegentPlaza - - RegalChowk = 2"
"RegentPlaza - - RegalChowk = 7"
"ShaheenComplex - - ArtsCouncil = 3"
"ShahFaisalColony - - LandhiRoad = 11"
"ShahFaisalColony - - MalirRiverBridge = 3"
"ShahrahEFaisalRoad - - FTC = 6"
"SharahEFaisalRoad - - JoharMorr = 6"
"SharahEFaisalRoad - - Karsaz = 8"
"SharahEFaisalRoad - - NataKhanBridge = 3"
"SharahEJahangirRoad - - RashidMinhasRoad = 3"
"SohrabGoth - - GulshanChowrangi = 5"
"SohrabGoth - - GulshanChowrangi = 7"
"StadiumRoadFlyover - - HassanSquareFlyover = 2"
"SteelMill - - BinQasimPort = 2"
"TajComplex - - AbdullahHaroon = 1"
"TipuSultanRoad - - Nursery = 3"
"Tower - - IIChundrigar = 4"
"UniversityAve - - ColonyGate = 2"
"USCounsulate - - JinnahBridge = 3"
"USCounsulate - - Mauripur = 13"
"ZiauddinChowrangi - - HussainabadRoad = 3"
